Port Name, COM1, 
Baudrate, 9600, 
Databit, 7, 
Parity, Even, 
Stopbit, One, 
Timeout, 200ms
Device Number, 01
Logging cycle, 200ms

Turn, Time, Address, Item Name, WriteValue, Read Value, Status, Com Error Count, Data Error Count, 
0, 14:51:46:380, '0000, Item3, , 0, OK, , 
0, 14:51:46:630, '0000, Item4, , 0, OK, , 
0, 14:51:46:877, '0000, Item5, , 0, OK, , 
1, 14:51:47:346, '0000, Item1, , 0, OK, , 
1, 14:51:47:609, '0000, Item2, , 0, OK, , 
1, 14:51:47:884, '0000, Item3, , 0, OK, , 
1, 14:51:48:133, '0000, Item4, , 0, OK, , 
1, 14:51:48:396, '0000, Item5, , 0, OK, , 
2, 14:51:48:861, '0000, Item1, , 0, OK, , 
2, 14:51:49:107, '0000, Item2, , 0, OK, , 
2, 14:51:49:371, '0000, Item3, , 0, OK, , 
2, 14:51:49:634, '0000, Item4, , 0, OK, , 
2, 14:51:49:886, '0000, Item5, , 0, OK, , 
3, 14:51:50:336, '0000, Item1, , 0, OK, , 
3, 14:51:50:599, '0000, Item2, , 0, OK, , 
3, 14:51:50:846, '0000, Item3, , 0, OK, , 
3, 14:51:51:093, '0000, Item4, , 0, OK, , 
3, 14:51:51:355, '0000, Item5, , 0, OK, , 
4, 14:51:51:820, '0000, Item1, , 0, OK, , 
4, 14:51:52:087, '0000, Item2, , 0, OK, , 
4, 14:51:52:334, '0000, Item3, , 0, OK, , 
4, 14:51:52:584, '0000, Item4, , 0, OK, , 
4, 14:51:52:833, '0000, Item5, , 0, OK, , 
5, 14:51:53:297, '0000, Item1, , 0, OK, , 
5, 14:51:53:559, '0000, Item2, , 0, OK, , 
5, 14:51:53:836, '0000, Item3, , 0, OK, , 
5, 14:51:54:084, '0000, Item4, , 0, OK, , 
5, 14:51:54:348, '0000, Item5, , 0, OK, , 
6, 14:51:54:798, '0000, Item1, , 0, OK, , 
6, 14:51:55:063, '0000, Item2, , 0, OK, , 
6, 14:51:55:312, '0000, Item3, , 0, OK, , 
6, 14:51:55:573, '0000, Item4, , 0, OK, , 
6, 14:51:55:818, '0000, Item5, , 0, OK, , 
7, 14:51:56:283, '0000, Item1, , 0, OK, , 
